fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_durbinr,results_curranm,results_maloufd,results_wilsonw,results_blackd,results_write_ins,results_absentee_durbinr,results_absentee_curranm,results_absentee_maloufd,results_absentee_wilsonw,results_absentee_blackd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
17001,Adams,33264,18879,74,74,Released as a separate subtotal at the end of tabulation,99,33527,99%,99% reported,edison,10,some,,8885,,,8835,23625,393,246,165,0,6354,12115,194,119,97,0,2021-01-26T19:13:08Z,44.46248,R+44,Curran +44,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17003,Alexander,2550,0,11,11,None,97,2618,97%,97% reported,edison,10,unknown,,1150,,,1218,1284,23,18,7,0,0,0,0,0,0,0,2020-12-16T21:34:08Z,2.58824,R+3,Curran +3,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17005,Bond,8054,0,25,25,Released as a precinct at the end of tabulation,99,8145,99%,99% reported,edison,10,unknown,,2398,,,2714,5061,154,61,64,0,0,0,0,0,0,0,2021-01-26T19:07:13Z,29.1408,R+29,Curran +29,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17007,Boone,24662,0,38,38,Other,99,24979,99%,99% reported,edison,10,unknown,,4522,,,10090,13579,411,328,254,0,0,0,0,0,0,0,2021-01-26T19:07:17Z,14.14727,R+14,Curran +14,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17009,Brown,2487,0,14,14,None,99,2521,99%,99% reported,edison,10,unknown,,594,,,635,1787,33,16,16,0,0,0,0,0,0,0,2021-01-26T19:13:15Z,46.32087,R+46,Curran +46,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17011,Bureau,17241,7344,50,50,Merged into voters' home precincts and released with cumulative results,99,17434,99%,99% reported,edison,10,some,,3786,,,7079,9487,259,289,127,0,3923,3247,72,62,40,0,2021-01-26T19:18:06Z,13.96671,R+14,Curran +14,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17013,Calhoun,2692,0,7,7,Other,97,2772,97%,97% reported,edison,10,all,,710,,,930,1697,30,17,18,0,0,0,0,0,0,0,2021-01-04T15:02:35Z,28.49183,R+28,Curran +28,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17015,Carroll,7914,0,22,22,Merged into voters' home precincts and released with cumulative results,99,8024,99%,99% reported,edison,10,unknown,,1638,,,2835,4840,107,91,41,0,0,0,0,0,0,0,2021-01-26T19:13:22Z,25.33485,R+25,Curran +25,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17017,Cass,5231,0,21,21,Other,98,5317,98%,98% reported,edison,10,some,,1222,,,1862,3260,47,28,34,0,0,0,0,0,0,0,2021-01-26T19:13:28Z,26.72529,R+27,Curran +27,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17019,Champaign,94771,66567,118,118,None,100,95142,100%,100% reported,edison,10,unknown,,23782,,,55220,35276,1547,1485,1243,0,43440,20446,873,941,867,0,2021-01-26T19:13:34Z,21.04441,D+21,Durbin +21,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
17021,Christian,15972,0,30,30,Merged into voters' home precincts and released with cumulative results,99,16204,99%,99% reported,edison,10,unknown,,3022,,,4874,10515,219,228,136,0,0,0,0,0,0,0,2021-01-26T19:13:40Z,35.31806,R+35,Curran +35,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17023,Clark,8248,0,23,23,Released as a separate subtotal in the middle of the tabulation,99,8356,99%,99% reported,edison,10,unknown,,2598,,,2082,5939,107,68,52,0,0,0,0,0,0,0,2021-01-26T19:13:47Z,46.76285,R+47,Curran +47,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17025,Clay,6702,0,22,22,Merged into voters' home precincts and released with cumulative results,97,6886,97%,97% reported,edison,10,some,,965,,,1295,5254,78,37,38,0,0,0,0,0,0,0,2021-01-26T19:13:52Z,59.07192,R+59,Curran +59,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17027,Clinton,18990,0,40,40,Released as a precinct at the end of tabulation,99,19170,99%,99% reported,edison,10,unknown,,3803,,,5329,13162,279,114,106,0,0,0,0,0,0,0,2021-01-26T19:13:58Z,41.24803,R+41,Curran +41,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17029,Coles,22329,0,44,44,None,99,22606,99%,99% reported,edison,10,unknown,,6758,,,8138,13379,308,265,239,0,0,0,0,0,0,0,2021-01-26T19:14:04Z,23.47172,R+23,Curran +23,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17031,Cook,2289760,0,3668,3668,None,98,2325405,98%,98% reported,edison,10,some,,823434,,,1574685,499034,22694,168295,25041,11,0,0,0,0,0,0,2021-01-26T19:12:51Z,46.97658,D+47,Durbin +47,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
17033,Crawford,9317,0,24,24,None,99,9425,99%,99% reported,edison,10,some,,2307,,,2384,6684,122,77,50,0,0,0,0,0,0,0,2021-01-26T19:14:09Z,46.15219,R+46,Curran +46,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
