fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_blankenshipd,results_hawkinsh,results_kennedya,results_la_rivag,results_write_ins,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_kennedya,results_absentee_la_rivag,results_absentee_write_ins,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
47001,Anderson,35570,23838,27,27,Released as a precinct as first report of the night,100,35570,100%,100% reported,edison,10,all,,24252,,,23184,11741,397,69,56,52,33,13,13,12,15792,7702,217,35,33,29,17,7,0,6,2020-12-16T18:44:33Z,32.17037,R+32,Trump +32,republican,trumpd,32.17037,29881,34.1,29659,29.83,tennessee,2021-05-06T22:33:22.304595Z
47003,Bedford,19088,0,11,11,Released as a separate subtotal as first report of the night,100,19088,100%,100% reported,edison,10,all,,10626,,,14354,4453,155,45,32,24,9,6,2,8,0,0,0,0,0,0,0,0,0,0,2020-12-16T15:14:55Z,51.87028,R+52,Trump +52,republican,trumpd,51.87028,15355,52.7,14445,40.31,tennessee,2021-05-06T22:33:22.304595Z
47005,Benton,7260,0,6,6,Merged into voters' home precincts and released with cumulative results,100,7260,100%,100% reported,edison,10,all,,4922,,,5668,1529,35,8,8,6,3,2,0,1,0,0,0,0,0,0,0,0,0,0,2020-12-16T15:15:21Z,57.01102,R+57,Trump +57,republican,trumpd,57.01102,6328,51.2,6226,25.57,tennessee,2021-05-06T22:33:22.304595Z
47007,Bledsoe,5758,0,12,12,None,100,5758,100%,100% reported,edison,10,all,,1711,,,4725,971,33,7,13,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2020-12-03T03:09:22Z,65.19625,R+65,Trump +65,republican,trumpd,65.19625,4664,58.4,4359,40.26,tennessee,2021-05-06T22:33:22.304595Z
47009,Blount,66609,50992,31,31,Merged into voters' home precincts and released with cumulative results,100,66609,100%,100% reported,edison,10,all,,40960,,,47369,17932,834,130,141,99,27,12,28,37,35201,14974,538,70,97,62,18,9,0,23,2020-12-16T15:16:01Z,44.19373,R+44,Trump +44,republican,trumpd,44.19373,52208,48.5,49234,45.71,tennessee,2021-05-06T22:33:22.304595Z
47011,Bradley,45865,35358,17,17,Released as a separate subtotal as first report of the night,100,45865,100%,100% reported,edison,10,all,,30918,,,35204,9851,500,102,85,53,15,17,14,24,26988,7911,285,58,49,31,11,11,0,14,2020-12-16T15:17:11Z,55.27744,R+55,Trump +55,republican,trumpd,55.27744,38666,58.7,35963,53.9,tennessee,2021-05-06T22:33:22.304595Z
47013,Campbell,14933,0,20,20,Released as a separate subtotal as first report of the night,100,14933,100%,100% reported,edison,10,unknown,,7473,,,12331,2441,101,18,24,9,5,2,0,2,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:02:55Z,66.22916,R+66,Trump +66,republican,trumpd,66.22916,12532,60.8,12101,43.6,tennessee,2021-05-06T22:33:22.304595Z
47015,Cannon,6557,2650,9,9,Released as a precinct as first report of the night,100,6557,100%,100% reported,edison,10,all,,2997,,,5190,1261,63,12,12,6,7,2,2,2,2069,517,42,9,6,3,3,0,0,1,2020-12-03T03:11:46Z,59.9207,R+60,Trump +60,republican,trumpd,59.9207,5314,54.2,4973,35.09,tennessee,2021-05-06T22:33:22.304595Z
47017,Carroll,11905,7905,19,19,Released as a separate subtotal as first report of the night,100,11905,100%,100% reported,edison,10,unknown,,6252,,,9205,2559,90,9,18,12,7,2,0,3,5941,1889,46,3,14,6,3,1,0,2,2021-03-06T23:05:33Z,55.82528,R+56,Trump +56,republican,trumpd,55.82528,10384,52.3,10851,34.56,tennessee,2021-05-06T22:33:22.304595Z
47019,Carter,24492,12644,22,22,Released as a precinct as first report of the night,100,24492,100%,100% reported,edison,10,unknown,,13611,,,19584,4529,243,33,27,39,14,13,4,6,9465,3036,98,10,9,16,5,3,0,2,2021-03-06T23:02:30Z,61.46905,R+61,Trump +61,republican,trumpd,61.46905,21084,63.8,20617,51.97,tennessee,2021-05-06T22:33:22.304595Z
47021,Cheatham,20260,16532,8,8,Released as a separate subtotal as first report of the night,100,20260,100%,100% reported,edison,10,unknown,,12907,,,14438,5514,205,24,31,27,5,1,0,15,11501,4806,154,13,22,20,2,1,0,13,2021-03-06T23:03:31Z,44.04738,R+44,Trump +44,republican,trumpd,44.04738,15924,46.6,15182,36.95,tennessee,2021-05-06T22:33:22.304595Z
47023,Chester,7584,0,11,11,Released as a separate subtotal as first report of the night,100,7584,100%,100% reported,edison,10,all,,4605,,,5952,1412,87,71,23,7,15,6,3,8,0,0,0,0,0,0,0,0,0,0,2020-12-16T15:22:35Z,59.86287,R+60,Trump +60,republican,trumpd,59.86287,6507,59,6410,47.74,tennessee,2021-05-06T22:33:22.304595Z
47025,Claiborne,12945,0,16,16,Released as a separate subtotal as first report of the night,100,12945,100%,100% reported,edison,10,all,,6758,,,10604,2202,83,22,11,6,8,0,2,7,0,0,0,0,0,0,0,0,0,0,2020-12-16T15:23:03Z,64.90537,R+65,Trump +65,republican,trumpd,64.90537,10740,63,10178,50.93,tennessee,2021-05-06T22:33:22.304595Z
47027,Clay,3506,0,7,7,Released as a separate subtotal as first report of the night,100,3506,100%,100% reported,edison,10,unknown,,1984,,,2733,735,22,4,5,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:03:52Z,56.98802,R+57,Trump +57,republican,trumpd,56.98802,2920,49.1,2820,25.18,tennessee,2021-05-06T22:33:22.304595Z
47029,Cocke,14859,0,19,19,Other,100,14859,100%,100% reported,edison,10,unknown,,8249,,,12162,2533,93,20,12,23,7,4,0,5,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:02:27Z,64.80248,R+65,Trump +65,republican,trumpd,64.80248,12126,64.4,11454,49.37,tennessee,2021-05-06T22:33:22.304595Z
47031,Coffee,24282,17167,23,23,Released as a separate subtotal as first report of the night,100,24282,100%,100% reported,edison,10,all,,13744,,,17883,5705,242,219,59,49,71,30,0,24,12231,4536,137,130,33,27,40,21,0,12,2020-12-16T15:24:04Z,50.15238,R+50,Trump +50,republican,trumpd,50.15238,19971,48.4,19259,37.14,tennessee,2021-05-06T22:33:22.304595Z
47033,Crockett,6114,0,12,12,"As a precinct in the FIRST cumulative report, along with regular precincts",100,6114,100%,100% reported,edison,10,unknown,,3380,,,4673,1382,30,12,3,6,4,1,0,3,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:40Z,53.82728,R+54,Trump +54,republican,trumpd,53.82728,5397,49.6,5498,38.45,tennessee,2021-05-06T22:33:22.304595Z
47035,Cumberland,32279,22929,24,24,Released as a separate subtotal as first report of the night,100,32279,100%,100% reported,edison,10,unknown,,21382,,,25168,6728,232,35,62,31,13,1,0,9,17195,5511,122,17,46,23,7,1,0,7,2021-03-06T23:04:01Z,57.12692,R+57,Trump +57,republican,trumpd,57.12692,26360,57.7,25247,49.08,tennessee,2021-05-06T22:33:22.304595Z
47037,Davidson,309658,252747,160,160,Released as a separate subtotal as first report of the night,100,309658,100%,100% reported,edison,10,unknown,,227158,,,100218,199703,3543,2601,600,729,632,1072,139,421,74619,171859,2291,1619,410,510,436,732,0,271,2021-03-06T23:03:35Z,32.12738,D+32,Biden +32,democrat,bidenj,-32.12738,249068,-25.8,244873,-18.58,tennessee,2021-05-06T22:33:22.304595Z
47041,DeKalb,8513,0,15,15,Released as a precinct as first report of the night,100,8513,100%,100% reported,edison,10,unknown,,4360,,,6672,1750,60,9,9,6,1,2,0,4,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:04:07Z,57.81746,R+58,Trump +58,republican,trumpd,57.81746,6955,51.8,6422,30.66,tennessee,2021-05-06T22:33:22.304595Z
47039,Decatur,5241,3759,13,13,"Released as first report, then NOT included in cumulative results",100,5241,100%,100% reported,edison,10,unknown,,3109,,,4229,904,21,42,15,10,12,4,0,4,2979,715,16,16,9,10,8,3,0,3,2021-03-06T23:04:45Z,63.44209,R+63,Trump +63,republican,trumpd,63.44209,4592,58.7,4251,36.96,tennessee,2021-05-06T22:33:22.304595Z
47043,Dickson,24323,16967,17,17,Released as a separate subtotal as first report of the night,100,24323,100%,100% reported,edison,10,unknown,,12625,,,17643,6106,260,134,55,40,39,29,0,17,11843,4786,151,74,32,20,27,21,0,13,2021-03-06T23:03:43Z,47.43247,R+47,Trump +47,republican,trumpd,47.43247,18699,45.5,17835,28.39,tennessee,2021-05-06T22:33:22.304595Z
47045,Dyer,15079,0,16,16,Released as a separate subtotal as first report of the night,100,15079,100%,100% reported,edison,10,unknown,,9314,,,11768,3158,96,13,16,7,9,1,2,9,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:44Z,57.09928,R+57,Trump +57,republican,trumpd,57.09928,13336,55.2,13800,44.67,tennessee,2021-05-06T22:33:22.304595Z
47047,Fayette,22984,0,15,15,Merged into voters' home precincts and released with cumulative results,100,22984,100%,100% reported,edison,10,unknown,,13370,,,15690,7027,145,42,18,30,16,7,0,9,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:49Z,37.69144,R+38,Trump +38,republican,trumpd,37.69144,19394,37,19574,30.66,tennessee,2021-05-06T22:33:22.304595Z
47049,Fentress,8729,0,13,13,Other,100,8729,100%,100% reported,edison,10,unknown,,6047,,,7441,1214,36,10,18,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:04:11Z,71.33692,R+71,Trump +71,republican,trumpd,71.33692,7333,67.3,6895,53.4,tennessee,2021-05-06T22:33:22.304595Z
47051,Franklin,19132,10664,18,18,Released as a separate subtotal as first report of the night,100,19132,100%,100% reported,edison,10,unknown,,10688,,,13987,4864,164,33,30,27,7,8,5,7,7463,3060,82,11,15,16,1,7,5,4,2021-03-06T23:03:22Z,47.68451,R+48,Trump +48,republican,trumpd,47.68451,16404,43.6,16119,28.9,tennessee,2021-05-06T22:33:22.304595Z
47053,Gibson,22335,14639,28,28,Released as a separate subtotal as first report of the night,100,22335,100%,100% reported,edison,10,unknown,,10676,,,16259,5771,160,31,48,32,15,5,6,8,10521,3955,92,13,30,14,8,2,0,4,2021-03-06T23:05:54Z,46.95769,R+47,Trump +47,republican,trumpd,46.95769,19547,43.6,19667,32.13,tennessee,2021-05-06T22:33:22.304595Z
47055,Giles,13203,0,14,14,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,13203,100%,100% reported,edison,10,unknown,,7703,,,9784,3298,68,22,14,9,3,2,0,3,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:04:50Z,49.1252,R+49,Trump +49,republican,trumpd,49.1252,11137,45.4,10799,29.22,tennessee,2021-05-06T22:33:22.304595Z
47057,Grainger,10134,0,10,10,Released as a separate subtotal as first report of the night,100,10134,100%,100% reported,edison,10,all,,4964,,,8565,1467,61,13,12,9,2,2,1,2,0,0,0,0,0,0,0,0,0,0,2020-12-16T16:21:34Z,70.04144,R+70,Trump +70,republican,trumpd,70.04144,8008,68.3,7252,52.43,tennessee,2021-05-06T22:33:22.304595Z
47059,Greene,28087,27994,17,17,Released as a precinct as first report of the night,100,28087,100%,100% reported,edison,10,unknown,,13642,,,22259,5199,205,180,87,64,58,23,1,11,22185,5183,203,180,87,64,58,23,0,11,2021-03-06T23:02:34Z,60.73984,R+61,Trump +61,republican,trumpd,60.73984,23583,60.8,23887,46.13,tennessee,2021-05-06T22:33:22.304595Z
